test_id,robot_count,mission_size,inventory_id,scenario,mode,makespan,robot_id,robot_idle_time
test_10_10_t_agriculture_i2_bl0,10,10,2,agriculture,bl0,436.50208711624146,robot_8,436.50208711624146
test_10_10_t_agriculture_i2_bl0,10,10,2,agriculture,bl0,436.50208711624146,robot_9,436.50208711624146
test_10_10_t_agriculture_i2_bl0,10,10,2,agriculture,bl0,436.50208711624146,robot_10,419.96438908576965
test_5_10_t_surveillance_i1_bl1,5,10,1,surveillance,bl1,438.0217487812042,robot_1,158.78338170051575
test_5_10_t_surveillance_i1_bl1,5,10,1,surveillance,bl1,438.0217487812042,robot_2,420.02197551727295
test_5_10_t_surveillance_i1_bl1,5,10,1,surveillance,bl1,438.0217487812042,robot_3,320.7963488101959
test_5_10_t_surveillance_i1_bl1,5,10,1,surveillance,bl1,438.0217487812042,robot_4,426.02212285995483
test_5_10_t_surveillance_i1_bl1,5,10,1,surveillance,bl1,438.0217487812042,robot_5,409.5016827583313
test_10_2_t_logistics_i2_multi3,10,2,2,logistics,multi3,73.5020923614502,robot_1,43.422913789749146
test_10_2_t_logistics_i2_multi3,10,2,2,logistics,multi3,73.5020923614502,robot_2,73.5020923614502
test_10_2_t_logistics_i2_multi3,10,2,2,logistics,multi3,73.5020923614502,robot_3,73.5020923614502
test_10_2_t_logistics_i2_multi3,10,2,2,logistics,multi3,73.5020923614502,robot_4,55.50060677528381
test_10_2_t_logistics_i2_multi3,10,2,2,logistics,multi3,73.5020923614502,robot_5,73.5020923614502
test_10_2_t_logistics_i2_multi3,10,2,2,logistics,multi3,73.5020923614502,robot_6,23.934452533721924
test_10_2_t_logistics_i2_multi3,10,2,2,logistics,multi3,73.5020923614502,robot_7,73.5020923614502
test_10_2_t_logistics_i2_multi3,10,2,2,logistics,multi3,73.5020923614502,robot_8,73.5020923614502
test_10_2_t_logistics_i2_multi3,10,2,2,logistics,multi3,73.5020923614502,robot_9,64.50396490097046
test_10_2_t_logistics_i2_multi3,10,2,2,logistics,multi3,73.5020923614502,robot_10,64.5013837814331
test_5_20_t_agriculture_i1_bl1,5,20,1,agriculture,bl1,915.0223896503448,robot_1,221.6659607887268
test_5_20_t_agriculture_i1_bl1,5,20,1,agriculture,bl1,915.0223896503448,robot_2,703.1657433509827
test_5_20_t_agriculture_i1_bl1,5,20,1,agriculture,bl1,915.0223896503448,robot_3,915.0223896503448
test_5_20_t_agriculture_i1_bl1,5,20,1,agriculture,bl1,915.0223896503448,robot_4,901.5007343292236
test_5_20_t_agriculture_i1_bl1,5,20,1,agriculture,bl1,915.0223896503448,robot_5,912.0223073959351
test_10_20_t_agriculture_i0_multi3,10,20,0,agriculture,multi3,202.50237846374512,robot_1,53.96484851837158
test_10_20_t_agriculture_i0_multi3,10,20,0,agriculture,multi3,202.50237846374512,robot_2,53.964786767959595
test_10_20_t_agriculture_i0_multi3,10,20,0,agriculture,multi3,202.50237846374512,robot_3,55.527918100357056
test_10_20_t_agriculture_i0_multi3,10,20,0,agriculture,multi3,202.50237846374512,robot_4,77.88793659210205
test_10_20_t_agriculture_i0_multi3,10,20,0,agriculture,multi3,202.50237846374512,robot_5,70.50113368034363
test_10_20_t_agriculture_i0_multi3,10,20,0,agriculture,multi3,202.50237846374512,robot_6,92.887455701828
test_10_20_t_agriculture_i0_multi3,10,20,0,agriculture,multi3,202.50237846374512,robot_7,74.96662449836731
test_10_20_t_agriculture_i0_multi3,10,20,0,agriculture,multi3,202.50237846374512,robot_8,170.88442969322205
test_10_20_t_agriculture_i0_multi3,10,20,0,agriculture,multi3,202.50237846374512,robot_9,127.42124915122986
test_10_20_t_agriculture_i0_multi3,10,20,0,agriculture,multi3,202.50237846374512,robot_10,166.45130014419556
test_10_10_t_cleaning_i1_bl2,10,10,1,cleaning,bl2,450.04066348075867,robot_1,211.27952766418457
test_10_10_t_cleaning_i1_bl2,10,10,1,cleaning,bl2,450.04066348075867,robot_2,286.20446038246155
test_10_10_t_cleaning_i1_bl2,10,10,1,cleaning,bl2,450.04066348075867,robot_3,450.04066348075867
test_10_10_t_cleaning_i1_bl2,10,10,1,cleaning,bl2,450.04066348075867,robot_4,415.5021460056305
test_10_10_t_cleaning_i1_bl2,10,10,1,cleaning,bl2,450.04066348075867,robot_5,439.5026843547821
test_10_10_t_cleaning_i1_bl2,10,10,1,cleaning,bl2,450.04066348075867,robot_6,450.04066348075867
test_10_10_t_cleaning_i1_bl2,10,10,1,cleaning,bl2,450.04066348075867,robot_7,450.04066348075867
test_10_10_t_cleaning_i1_bl2,10,10,1,cleaning,bl2,450.04066348075867,robot_8,450.04066348075867
test_10_10_t_cleaning_i1_bl2,10,10,1,cleaning,bl2,450.04066348075867,robot_9,450.04066348075867
test_10_10_t_cleaning_i1_bl2,10,10,1,cleaning,bl2,450.04066348075867,robot_10,439.5038957595825
test_2_2_t_surveillance_i1_bl1,2,2,1,surveillance,bl1,91.50203847885132,robot_1,32.99551296234131
test_2_2_t_surveillance_i1_bl1,2,2,1,surveillance,bl1,91.50203847885132,robot_2,61.48648142814636
test_2_2_t_agriculture_i1_multi3,2,2,1,agriculture,multi3,94.50204706192017,robot_1,11.993829488754272
test_2_2_t_agriculture_i1_multi3,2,2,1,agriculture,multi3,94.50204706192017,robot_2,38.995272636413574
test_5_20_t_cleaning_i1_multi3,5,20,1,cleaning,multi3,273.0225646495819,robot_1,44.94211459159851
test_5_20_t_cleaning_i1_multi3,5,20,1,cleaning,multi3,273.0225646495819,robot_2,116.98444128036499
test_5_20_t_cleaning_i1_multi3,5,20,1,cleaning,multi3,273.0225646495819,robot_3,45.02377724647522
test_5_20_t_cleaning_i1_multi3,5,20,1,cleaning,multi3,273.0225646495819,robot_4,24.024619579315186
test_5_20_t_cleaning_i1_multi3,5,20,1,cleaning,multi3,273.0225646495819,robot_5,64.46409845352173
test_10_2_t_surveillance_i2_bl1,10,2,2,surveillance,bl1,124.5019018650055,robot_1,112.50059676170349
test_10_2_t_surveillance_i2_bl1,10,2,2,surveillance,bl1,124.5019018650055,robot_2,64.35160064697266
test_10_2_t_surveillance_i2_bl1,10,2,2,surveillance,bl1,124.5019018650055,robot_3,91.45806193351746
test_10_2_t_surveillance_i2_bl1,10,2,2,surveillance,bl1,124.5019018650055,robot_4,124.5019018650055
test_10_2_t_surveillance_i2_bl1,10,2,2,surveillance,bl1,124.5019018650055,robot_5,124.5019018650055
test_10_2_t_surveillance_i2_bl1,10,2,2,surveillance,bl1,124.5019018650055,robot_6,124.5019018650055
test_10_2_t_surveillance_i2_bl1,10,2,2,surveillance,bl1,124.5019018650055,robot_7,124.5019018650055
test_10_2_t_surveillance_i2_bl1,10,2,2,surveillance,bl1,124.5019018650055,robot_8,112.52634358406067
test_10_2_t_surveillance_i2_bl1,10,2,2,surveillance,bl1,124.5019018650055,robot_9,109.50355052947998
test_10_2_t_surveillance_i2_bl1,10,2,2,surveillance,bl1,124.5019018650055,robot_10,124.5019018650055
test_10_2_t_surveillance_i2_bl0,10,2,2,surveillance,bl0,123.03995752334595,robot_1,123.03995752334595
test_10_2_t_surveillance_i2_bl0,10,2,2,surveillance,bl0,123.03995752334595,robot_2,73.42716312408447
test_10_2_t_surveillance_i2_bl0,10,2,2,surveillance,bl0,123.03995752334595,robot_3,89.9791419506073
test_10_2_t_surveillance_i2_bl0,10,2,2,surveillance,bl0,123.03995752334595,robot_4,123.03995752334595
test_10_2_t_surveillance_i2_bl0,10,2,2,surveillance,bl0,123.03995752334595,robot_5,123.03995752334595
test_10_2_t_surveillance_i2_bl0,10,2,2,surveillance,bl0,123.03995752334595,robot_6,123.03995752334595
test_10_2_t_surveillance_i2_bl0,10,2,2,surveillance,bl0,123.03995752334595,robot_7,109.51222634315491
test_10_2_t_surveillance_i2_bl0,10,2,2,surveillance,bl0,123.03995752334595,robot_8,112.50327968597412
test_10_2_t_surveillance_i2_bl0,10,2,2,surveillance,bl0,123.03995752334595,robot_9,94.50157427787781
test_10_2_t_surveillance_i2_bl0,10,2,2,surveillance,bl0,123.03995752334595,robot_10,123.03995752334595
test_10_20_t_cleaning_i2_multi3,10,20,2,cleaning,multi3,166.50214004516602,robot_1,26.966453552246094
test_10_20_t_cleaning_i2_multi3,10,20,2,cleaning,multi3,166.50214004516602,robot_2,101.9098289012909
test_10_20_t_cleaning_i2_multi3,10,20,2,cleaning,multi3,166.50214004516602,robot_3,40.50425338745117
