test_id,robot_count,mission_size,inventory_id,scenario,mode,completion_time,average_idle_time
test_10_20_t_logistics_i1_bl0,10,20,1,logistics,bl0,1069.502082824707,957.6960853338242
test_10_20_t_agriculture_i2_bl1,10,20,2,agriculture,bl1,786.0400612354279,702.2264275789261
test_2_2_t_logistics_i0_bl0,2,2,0,logistics,bl0,138.01001834869385,66.73054480552673
test_10_20_t_logistics_i2_multi3,10,20,2,logistics,multi3,640.5023715496063,532.5196302890778
test_5_2_t_surveillance_i1_multi3,5,2,1,surveillance,multi3,88.50191068649292,63.29457321166992
test_10_2_t_agriculture_i1_bl1,10,2,1,agriculture,bl1,121.50146889686584,108.87135674953461
test_5_2_t_agriculture_i2_bl0,5,2,2,agriculture,bl0,111.02203345298767,87.88673195838928
test_10_2_t_surveillance_i2_bl2,10,2,2,surveillance,bl2,124.502023935318,110.9873069524765
test_2_10_t_surveillance_i1_multi3,2,10,1,surveillance,multi3,375.01063776016235,83.95828890800476
test_10_10_t_logistics_i0_bl1,10,10,0,logistics,bl1,570.0404667854309,511.8767788648605
test_2_10_t_cleaning_i1_multi3,2,10,1,cleaning,multi3,321.01036071777344,29.255696654319763
test_5_20_t_agriculture_i0_bl1,5,20,0,agriculture,bl1,897.022757768631,708.6221200942994
test_2_20_t_cleaning_i2_multi3,2,20,2,cleaning,multi3,561.0088579654694,7.511167407035828
test_10_20_t_logistics_i0_bl0,10,20,0,logistics,bl0,1048.5013105869293,939.1059083223342
test_5_20_t_logistics_i0_bl0,5,20,0,logistics,bl0,1077.0225238800049,855.9259813785553
test_10_20_t_agriculture_i2_multi3,10,20,2,agriculture,multi3,151.50214052200317,59.82869415283203
test_5_2_t_agriculture_i1_bl1,5,2,1,agriculture,bl1,121.50209641456604,95.67576417922973
test_5_2_t_cleaning_i2_bl2,5,2,2,cleaning,bl2,91.50201725959778,72.59022846221924
test_2_10_t_agriculture_i1_multi3,2,10,1,agriculture,multi3,334.5020453929901,63.748934268951416
test_10_10_t_surveillance_i0_bl1,10,10,0,surveillance,bl1,447.04063415527344,401.50565667152404
test_10_10_t_logistics_i1_multi3,10,10,1,logistics,multi3,351.04010248184204,280.3155171632767
test_2_20_t_agriculture_i1_bl2,2,20,1,agriculture,bl2,799.5019638538361,397.46895039081573
test_2_10_t_agriculture_i2_bl1,2,10,2,agriculture,bl1,477.0106599330902,233.92883551120758
test_10_2_t_cleaning_i2_bl0,10,2,2,cleaning,bl0,94.50203466415405,85.0434103012085
